Project,URL,Language
Neural Networks and Introduction to Deep Learning,[https://www.math.uni](https://www.math.univ-toulouse.fr/~besse/Wikistat/pdf/st-m-hdstat-rnn-deep-learning.pdf),inglês
MIT 6.S191: Introduction to Deep Learning,[https://www.youtube.](https://www.youtube.com/watch?v=JN6H4rQvwgY&list=PLtBw6njQRU-rwp5__7C0oIVt26ZgjG9NI),inglês
3Blue1Brown,[https://www.youtube.](https://www.youtube.com/watch?v=aircAruvnKk&t=8s),inglês
A Friendly Introduction to Deep Learning,[https://www.youtube.](https://www.youtube.com/watch?v=BR9h47Jtqyw&t=9s),inglês
Neural Networks Explained,[https://www.youtube.](https://www.youtube.com/watch?v=GvQwE2OhL8I),inglês
Beginner Intro to Neural Networks,[https://www.youtube.](https://www.youtube.com/watch?v=ZzWaow1Rvho&list=PLxt59R_fWVzT9bDxA76AHm3ig0Gg9S3So),inglês
Neural Network that Changes Everything,[https://www.youtube.](https://www.youtube.com/watch?v=py5byOOHZM8&t=57s),inglês
How Deep Neural Networks Work,[https://www.youtube.](https://www.youtube.com/watch?v=ILsA4nyG7I0),inglês
"Deep Learning, Computerphile",[https://www.youtube.](https://www.youtube.com/watch?v=l42lr8AlrHk),inglês
How Convolutional Neural Networks Work,[https://www.youtube.](https://www.youtube.com/watch?v=FmpDIaiMIeA),inglês
Neural Network Programming,[https://www.youtube.](https://www.youtube.com/watch?v=v5cngxo4mIg&list=PLZbbT5o_s2xrfNyHZsM6ufI0iZENK9xgG),inglês
Neural Networks Demystified,[https://www.youtube.](https://www.youtube.com/watch?v=bxe2T-V8XRs&list=PLiaHhY2iBX9hdHaRr6b7XevZtgZRa1PoU),inglês
Matheus Facure,[https://matheusfacur](https://matheusfacure.github.io/2017/03/05/ann-intro/),português
Deep Learning Book,[http://deeplearningb](http://deeplearningbook.com.br/o-que-sao-redes-neurais-artificiais-profundas/),português
USP,[http://conteudo.icmc](http://conteudo.icmc.usp.br/pessoas/andre/research/neural/),português
Unicamp,[ftp://vm1-dca.fee.un](ftp://vm1-dca.fee.unicamp.br/pub/docs/vonzuben/ia006_03/topico5_03.pdf),português
UFCG,[http://www.dsc.ufcg.](http://www.dsc.ufcg.edu.br/~pet/jornal/setembro2011/materias/informatica.html),português
O Algoritmo Backpropagation,[https://www.devmedia](https://www.devmedia.com.br/redes-neurais-artificiais-algoritmo-backpropagation/28559),português
Introdução às Redes Neurais Artificiais,[http://www.inf.ufsc.](http://www.inf.ufsc.br/~j.barreto/tutoriais/Survey.pdf),português
Redes Neurais Artificiais,[https://andreric.git](https://andreric.github.io/files/pdfs/redes_neurais.pdf),português
Guia de Aulas Práticas,[http://repositorio.u](http://repositorio.ufla.br/jspui/bitstream/1/29980/1/APOSTILA_Guia%20de%20aulas%20pr%C3%A1ticas%20de%20redes%20neurais%20artificiais%3A%20vers%C3%A3o%201.2.pdf),português
Aula 18 - Redes Neurais,[http://edirlei.3dgb.](http://edirlei.3dgb.com.br/aulas/ia_2012_1/IA_Aula_18_Redes_Neurais.pdf),português
Redes Neuronales,[http://avellano.fis.](http://avellano.fis.usal.es/~lalonso/RNA/index.htm),espanhol
Introducción Redes Neuronales,[https://www2.ulpgc.e](https://www2.ulpgc.es/hege/almacen/download/38/38584/practica_ia_2.pdf),espanhol
